,arrival_time,transit_time,rmse_a,rmse_b,hit,w_a,w_b,w_avg
75,2012-11-24 03:37:29.283115,3.408441864755507,4.494974621164923,0.8648576732863347,1.0,0.003926013751626141,0.004896106974300104,0.004708380032549975
76,2012-11-24 08:14:01.944557,3.600486557377753,3.942952238156027,0.5215763616647263,1.0,0.004475664707558567,0.008118534498839338,0.0074135869854178235
77,2012-11-23 20:40:04.083115,3.118566864755507,3.8674786849075047,1.6352656083257608,1.0,0.004563006964917778,0.002589448261123488,0.00297136015491699
78,2012-11-23 22:22:41.244557,3.1898303073777536,4.21146081643312,1.4615317292777255,1.0,0.0041903113777158035,0.002897258814933016,0.00314748301757644
79,2012-11-25 15:36:00.984733,4.90741989274814,2.6623902385527374,2.423145562028471,1.0,0.00662837923620731,0.0017474953846393943,0.002692016361671714
80,,,2.559485111168871,2.987927627207427,0.0,0.006894875886910227,0.0014171814763504723,0.00247719384990539
81,2012-11-23 23:49:38.994557,3.2502209323777533,2.6761287737143387,0.8500694944059488,1.0,0.006594350895682176,0.0049812817820422085,0.005293433773683324
82,2012-11-23 21:13:07.044557,3.1415178073777534,3.5584294698446195,1.3900459495823387,1.0,0.0049593036269100395,0.0030462559077464217,0.003416458058783764
83,2012-11-24 06:11:42.381705,3.5155379132518356,2.542154774196067,1.2339637532217647,1.0,0.006941879524815635,0.0034315721794084034,0.00411086695969757
84,2012-11-24 03:53:08.694557,3.4193146823777534,4.494938395156878,1.8780864332202707,1.0,0.003926045392506004,0.002254654317849252,0.002578092444804634
85,2012-11-24 01:45:01.281705,3.330339996585169,2.0608703837236697,1.2035672571234344,1.0,0.008563048076812104,0.003518237689578417,0.004494480800621121
86,2012-11-23 23:33:59.583115,3.239348114755507,4.853567079319949,2.036581207420107,1.0,0.0036359510206618226,0.0020791882349333215,0.002380444145153659
87,2012-11-25 16:40:15.406000,4.95203125,8.246676204210733,6.3016391158957985,1.0,0.0021399327121505397,0.0006719578205094097,0.0009560320007352698
88,2012-11-24 08:19:15.081705,3.604110829918502,2.5935995762999786,1.378232498727839,1.0,0.006804185324968175,0.0030723667377330964,0.003794527117966353
89,2012-11-24 00:07:02.544557,3.2622990573777533,4.04072184072946,1.011687453966753,1.0,0.004367371195419423,0.004185517641195677,0.0042207089102231175
90,2012-11-23 23:14:51.894557,3.2260646823777535,3.010402837570152,0.3561489695620681,1.0,0.005862116510011014,0.011889507054199762,0.01072312060066354
91,2012-11-24 01:42:42.069557,3.3287287448777536,2.596631898186215,1.311917324418469,1.0,0.006796239462447838,0.0032276696154090157,0.003918239024769255
92,2012-11-23 21:49:38.283115,3.1668793647555074,3.9840870667842663,1.9940639253573833,1.0,0.00442945444717601,0.0021235205311661578,0.0025697517920518142
93,2012-11-23 13:40:54.744557,2.8274865573777532,2.5406908987275196,3.985199496502024,1.0,0.006945879242824259,0.0010625404549184866,0.0022010508290958635
94,2012-11-25 10:38:29.133115,4.700801239755509,4.968178987294591,3.968041598592499,1.0,0.003552072544293296,0.0010671349028841275,0.0015480059500765763
95,2012-11-23 22:57:28.344557,3.2139865573777535,4.044783373754382,0.5644642634160584,1.0,0.004362985738720459,0.00750168958496677,0.006894305407504868
96,2012-11-24 06:47:04.194557,3.5400959323777537,5.6512345439556695,0.6439374572963904,1.0,0.003122739295041091,0.006575849312653303,0.005907623035031997
97,2012-11-23 19:28:45.744557,3.069049057377754,4.086189084942303,1.4453926113107693,1.0,0.004318775222843896,0.002929609334389874,0.0031984328430257275
98,2012-11-24 06:18:39.657410,3.520367493170338,3.824385589390281,0.8356412592809898,1.0,0.00461442283039182,0.005067288910073226,0.004979652833277818
99,2012-11-24 18:31:27.969557,4.029259994877754,5.933414552275951,2.5418444078954585,1.0,0.002974228754863385,0.0016658909856170625,0.001919073094775398
100,2012-11-24 00:59:13.194557,3.2985334323777535,3.2721248578509154,0.9142633119245241,1.0,0.005393233126041072,0.004631527515897688,0.004778928468057719
101,2012-11-24 04:36:37.569557,3.4495099948777534,2.8502232366456126,0.8478104646108412,1.0,0.006191561400879212,0.00499455463538995,0.005226192599749833
102,2012-11-24 09:25:20.283115,3.650004364755507,6.067710670293062,0.8331251763436008,1.0,0.0029084004058241705,0.005082592395704773,0.00466185508562144
